"order_id","customer","email","country","amount","status"
"ORD-1001"," Maya Chen ","maya@example.com","Canada","120.00","Paid"
"ORD-1002","Alex Morgan","alex@example.com","United States","85.50","Pending"
"ORD-1003","Sam Rivera","","Spain","210.00","Paid"
"ORD-1002","Alex Morgan","alex@example.com","United States","85.50","Pending"
"ORD-1004","  Deniz Kaya","deniz@example.com","Turkey","64.00","Paid "
"","","","","",""
"ORD-1005","Jules Martin","jules@example.com","France","","Pending"
"ORD-1006","Noor Ali ","noor@example.com","United Kingdom","145.00","Paid"
"ORD-1007","Eva Silva","eva@example.com","","99.00","Paid"
"ORD-1008","Luca Rossi","luca@example.com","Italy","180.00","Paid"
"ORD-1001"," Maya Chen ","maya@example.com","Canada","120.00","Paid"
"ORD-1009","Sofia Costa","sofia@example.com","Portugal","72.50"," Pending"
